sequential_id|rdes|shift|route_type|id|des|sch|time|mean|diff|n|std
0008|LOMA LINDA - URDIÑOLA|Entrada|N|1|MEZQUITE Y GORDOLOBO|H1|04:05|04:14|-9|1|0
0008|LOMA LINDA - URDIÑOLA|Entrada|N|1|MEZQUITE Y GORDOLOBO|H2|16:05|16:16|-11|1|0
0008|LOMA LINDA - URDIÑOLA|Entrada|N|1|MEZQUITE Y GORDOLOBO|H3|19:35|||0|
0008|LOMA LINDA - URDIÑOLA|Entrada|N|1|MEZQUITE Y GORDOLOBO|H4|20:05|||0|
0008|LOMA LINDA - URDIÑOLA|Entrada|N|2|MEZQUITE Y NUECES|H1|04:10|04:12|-2|1|0
0008|LOMA LINDA - URDIÑOLA|Entrada|N|2|MEZQUITE Y NUECES|H2|16:10|16:12|-2|1|0
0008|LOMA LINDA - URDIÑOLA|Entrada|N|2|MEZQUITE Y NUECES|H3|19:40|||0|
0008|LOMA LINDA - URDIÑOLA|Entrada|N|2|MEZQUITE Y NUECES|H4|20:10|||0|
0008|LOMA LINDA - URDIÑOLA|Entrada|N|3|BLVD SANTA LUCIA Y CALLE 7|H1|04:20|04:22|-2|1|0
0008|LOMA LINDA - URDIÑOLA|Entrada|N|3|BLVD SANTA LUCIA Y CALLE 7|H2|16:20|||0|
0008|LOMA LINDA - URDIÑOLA|Entrada|N|3|BLVD SANTA LUCIA Y CALLE 7|H3|19:50|||0|
0008|LOMA LINDA - URDIÑOLA|Entrada|N|3|BLVD SANTA LUCIA Y CALLE 7|H4|20:20|||0|
0008|LOMA LINDA - URDIÑOLA|Entrada|N|4|BLVD VALDES SANCHEZ Y (PLANTA LEAR)|H1|04:30|04:35|-5|1|0
0008|LOMA LINDA - URDIÑOLA|Entrada|N|4|BLVD VALDES SANCHEZ Y (PLANTA LEAR)|H2|16:30|16:34|-4|1|0
0008|LOMA LINDA - URDIÑOLA|Entrada|N|4|BLVD VALDES SANCHEZ Y (PLANTA LEAR)|H3|20:00|||0|
0008|LOMA LINDA - URDIÑOLA|Entrada|N|4|BLVD VALDES SANCHEZ Y (PLANTA LEAR)|H4|20:30|||0|
0008|LOMA LINDA - URDIÑOLA|Entrada|N|5|STA. GERTRUDIS Y STA. CECILIA (DEL ACUEDUCTO)|H1|04:32|04:31|1|1|0
0008|LOMA LINDA - URDIÑOLA|Entrada|N|5|STA. GERTRUDIS Y STA. CECILIA (DEL ACUEDUCTO)|H2|16:32|16:29|3|1|0
0008|LOMA LINDA - URDIÑOLA|Entrada|N|5|STA. GERTRUDIS Y STA. CECILIA (DEL ACUEDUCTO)|H3|20:02|||0|
0008|LOMA LINDA - URDIÑOLA|Entrada|N|5|STA. GERTRUDIS Y STA. CECILIA (DEL ACUEDUCTO)|H4|20:32|||0|
0008|LOMA LINDA - URDIÑOLA|Entrada|N|6|DEPOSITO DE AGUA FRACC PLAZA|H1|04:35|04:40|-5|1|0
0008|LOMA LINDA - URDIÑOLA|Entrada|N|6|DEPOSITO DE AGUA FRACC PLAZA|H2|16:35|16:39|-4|1|0
0008|LOMA LINDA - URDIÑOLA|Entrada|N|6|DEPOSITO DE AGUA FRACC PLAZA|H3|20:05|||0|
0008|LOMA LINDA - URDIÑOLA|Entrada|N|6|DEPOSITO DE AGUA FRACC PLAZA|H4|20:35|||0|
